Method Name,Elapsed Time,cpuInstructions,ram,minResourceFee,ledgerReadBytes,ledgerWriteBytes,ledgerEntryReads,ledgerEntryWrites,eventSize,returnValueSize,transactionSize
transfer,12229,141958,51886,48754,704,232,1,2,248,4,248
transfer,12228,142329,51886,48758,704,232,1,2,248,4,248
transfer,12232,141958,51886,48754,704,232,1,2,248,4,248
transfer,12305,142329,51886,48758,704,232,1,2,248,4,248
transfer,13183,142329,51886,48758,704,232,1,2,248,4,248
transfer,7768,141958,51886,48754,704,232,1,2,248,4,248
transfer,7768,141958,51886,48754,704,232,1,2,248,4,248
transfer,7821,142329,51886,48758,704,232,1,2,248,4,248
transfer,7815,142329,51886,48758,704,232,1,2,248,4,248
transfer,7838,141958,51886,48754,704,232,1,2,248,4,248
transfer,12386,142329,51886,48758,704,232,1,2,248,4,248
transfer,12399,142329,51886,48758,704,232,1,2,248,4,248
transfer,12472,141958,51886,48754,704,232,1,2,248,4,248
transfer,12466,142329,51886,48758,704,232,1,2,248,4,248
transfer,12471,141958,51886,48754,704,232,1,2,248,4,248
